exception_type,severity,event_id,client_order_id,server_order_id,symbol,status,bridge_status,detail,recommended_action
high_latency,Warning,evt_0002,cl_demo_0002,sv_demo_0002,XAUUSD,partially_filled,delayed,Latency 2040 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
received_not_transmitted,Critical,evt_0003,cl_demo_0003,,XAUUSD,received,not_applicable,Order was received by the platform but has no transmission timestamp.,"Review platform queue/routing state and confirm whether the order should be transmitted, cancelled, or escalated."
transmitted_no_final_status,Critical,evt_0004,cl_demo_0004,sv_demo_0004,BTCUSD,transmitted,delayed,Order was transmitted but has no final status timestamp.,"Check downstream execution/bridge response and follow up until a final fill, reject, cancel, fail, or expiry status is recorded."
pending_follow_up,Warning,evt_0004,cl_demo_0004,sv_demo_0004,BTCUSD,transmitted,delayed,Order state is unresolved and has no final status timestamp.,Carry forward to shift handover and confirm the order reaches a final status or is otherwise resolved.
rejected_without_reason,Warning,evt_0006,cl_demo_0006,sv_demo_0006,XAUUSD,rejected,ok,Rejected order is missing a reject reason.,Investigate missing rejection reason and update the operational record with a clear rejection explanation.
bridge_failed_or_disconnected,Critical,evt_0007,cl_demo_0007,sv_demo_0007,USOIL,failed,failed,Bridge status is failed.,Escalate bridge or liquidity-provider connectivity issue to platform/risk/technical support and monitor affected symbols.
high_latency,Warning,evt_0007,cl_demo_0007,sv_demo_0007,USOIL,failed,failed,Latency 3020 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
bridge_failed_or_disconnected,Critical,evt_0008,cl_demo_0008,sv_demo_0008,BTCUSD,failed,disconnected,Bridge status is disconnected.,Escalate bridge or liquidity-provider connectivity issue to platform/risk/technical support and monitor affected symbols.
high_latency,Warning,evt_0008,cl_demo_0008,sv_demo_0008,BTCUSD,failed,disconnected,Latency 4300 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
high_latency,Warning,evt_0009,cl_demo_0009,sv_demo_0009,USDJPY,filled,delayed,Latency 3250 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
pending_follow_up,Warning,evt_0010,cl_demo_0010,sv_demo_0010,XAUUSD,pending_new,delayed,Order state is unresolved and has no final status timestamp.,Carry forward to shift handover and confirm the order reaches a final status or is otherwise resolved.
high_latency,Warning,evt_0016,cl_demo_0016,sv_demo_0016,XAUUSD,rejected,delayed,Latency 2500 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
high_latency,Warning,evt_0017,cl_demo_0017,sv_demo_0017,USOIL,cancelled,not_applicable,Latency 60000 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
high_latency,Warning,evt_0018,cl_demo_0018,sv_demo_0018,EURUSD,expired,not_applicable,Latency 300000 ms is above 2000 ms.,"Review execution latency against operational thresholds and check whether the symbol, route, or bridge showed delays."
